Name,業種,従業員数,外部リンク,関係する人物,資本金,設立,本店所在地
沖縄電力株式会社,電気・ガス業,"単体：1,531人 連結：2,562人 （2014年3月31日現在）",https://www.okiden.co.jp/,,75億86百万円 （2014年3月31日現在）,1972年 5月15日,
株式会社オークワ,小売業,"連結：1,938人 単独：1,848人 （2015年2月20日現在） 準社員を含む：15041人 （2017年2月20日現在）",https://www.okuwa.net/,大桑勇 （創業者） 大桑啓嗣 （取締役副会長・元代表取締役社長）,"141億1,749万円（2016年2月20日現在）",創業: 1938年 （ 昭和 13年）5月 [2] ↓ 1959年 （昭和34年） 2月27日 （有限会社主婦の店新宮店） [3] ↓ 1969年 （昭和44年） 2月21日 （株式会社主婦の店オークワ） [2],
オカモト株式会社,ゴム製品,"単体940人、連結2,136人 （2015年3月）",https://www.okamoto-inc.jp/,,"130億4,763万円",1934年 1月10日,
株式会社オカムラ,その他製品,"3,216名 （2017年3月31日時点）",http://www.okamura.co.jp/,,"186億7,000万円 （2016年3月31日時点）",1946年 7月15日,〒 220-0004 横浜市西区北幸2丁目7-18
オカダアイヨン株式会社,機械,152名（子会社含む）,https://www.aiyon.co.jp/,,"1,049百万円",1960年 9月1日,
株式会社岡三証券グループ,証券、商品先物取引業,"単体:11人 連結:3,148人 （2014年3月31日現在）",https://www.okasan.jp/,,185億89百万円 （2014年3月31日現在）,1944年 （ 昭和 19年） 8月25日,
岡部株式会社,金属製品,"613名 （連結会社合計1,401名　平成25年12月）",https://www.okabe.co.jp/,,"69億1,170万円 （平成25年12月）",1944年 2月1日,
小田急電鉄株式会社,陸運業,単独：3792名 連結：1万3938名 （2019年3月31日現在 [2] ）,https://www.odakyu.jp/,利光鶴松 五島慶太 安藤楢六,"603億5,900万円 [1]",1948年 （ 昭和 23年） 6月1日 （特記事項参照）,東京都 渋谷区 代々木 二丁目28番12号（小田急南新宿ビル）
OUGホールディングス株式会社,卸売業,"1,305人",https://www.oug.co.jp/,,64億95百万円,1946年6月12日,
株式会社 大光,卸売業,連結 489名、単体 478名 （2016年5月31日現在） [広報 2],http://www.oomitsu.com/,,4億7503万円 （2016年5月31日時点） [広報 2],1950年 （ 昭和 25年） 12月27日 （株式会社大光商店） [広報 1],
株式会社オープンハウス,不動産業,"連結：2,263人 （2018年9月現在）",https://oh.openhouse-group.com/,鎌田和彦 （取締役 副社長 ） 櫻井勝 （取締役）,"42億2,130万円 （2019年4月現在）",1996年 （ 平成 8年）11月 （株式会社アプローズ）,
