Name,業種,従業員数,外部リンク,関係する人物,資本金,設立,本店所在地
株式会社牧野フライス製作所,機械,"連結：4,731人 単独：1,501人 （2018年3月31日現在） [1]",https://www.makino.co.jp/,,"211億4,200万円 （2018年3月期） [1]",1951年 5月1日 （株式会社牧野竪フライス製作所）,
株式会社マキタ,機械,"連結：16,137名 単独：2,877名 （2018年3月31日現在）",https://www.makita.co.jp/,,242億561万円 （2018年3月31日現在）,1938年 （ 昭和 13年）12月10日 （株式会社牧田電機製作所）,
前澤工業株式会社,機械,単独650人（2016年5月）,http://www.maezawa.co.jp/,,52億3371万円,1947年 （昭和22年） 9月26日,〒 104-8351 東京都 中央区 新川1丁目5番17号
前澤給装工業株式会社,機械,単体：387名、連結：487名 （2016年3月）,http://www.qso.co.jp/,,33億58百万円,1957年 （昭和32年） 1月23日,
前田工繊株式会社,その他製品,連結:891人  単独:374人 （2015年9月20日時点）,https://www.maedakosen.jp/,,34億3841万円,1972年 （ 昭和 47年） 11月25日,
前澤化成工業株式会社,化学,連結632名（2016年3月現在）,https://www.maezawa-k.co.jp/,,33億8730万円,1954年 （昭和29年） 12月10日,
株式会社毎日コムネット,不動産業,連結237名（2017年5月末現在）,https://www.maicom.co.jp/,,"7億7,506万円",1979年 4月21日 [1],
株式会社マイネット,情報・通信業,連結：600名（2016年11月現在）,https://mynet.co.jp/,"笠原健治 , 保田隆明 , 徳力基彦","連結：29億5,303万円 （2017年3月現在）",2006年 6月14日 （株式会社マイネット・ジャパン）,
松井建設株式会社,建設業,単体702人、連結722人 （2012年3月）,https://www.matsui-ken.co.jp/,,40億円,1939年 （ 昭和 14年） 1月20日,
株式会社マースグループホールディングス,機械,,http://www.mars-eng.co.jp/,,4億8000万円,2018年 10月1日,
株式会社マクロミル,情報・通信業,"連結：1,890名 単体：893名 （2017年6月末）",https://www.macromill.com/,杉本哲哉 （創業者）,6億74百万円（2017年6月末）,2013年 11月 （株式会社BCJ-11）,
本多通信工業株式会社,電気機器,"連結：1,320人、単体：188人 （2016年3月31日現在）",https://www.htk-jp.com/,,15億100万円,1947年 6月14日,
株式会社ボルテージ,情報・通信業,単体364人（2017年6月末現在）,https://www.voltage.co.jp/,,9億36百万円（2017年6月末現在),1999年 9月,
株式会社堀場製作所,電気機器,"連結：7,149名 単体：1,575名 （2016年12月31日現在）",https://www.horiba.com/jp/,堀場雅夫 （創業者）,120億11百万円,1953年 （ 昭和 28年） 1月26日,
株式会社マーベラス,情報・通信業,連結: 528名 （2019年3月31日現在） [1],https://corp.marv.jp/,中山晴喜 （創業者）,11億2800万円 （2019年3月31日現在） [1],1997年 6月25日 （株式会社マーベラスエンターテイメント）,
本田技研工業株式会社,輸送用機器,"連結：21万9,722人 単独：2万2,2675人 （2019年3月現在）",https://www.honda.co.jp/,本田宗一郎 （創業者） 藤沢武夫 （ 元 取締役最高顧問）,860億6700万円,1948年 （ 昭和 23年） 9月24日,
株式会社CARTA HOLDINGS,サービス業,連結317名（2017年9月末時点）,https://cartaholdings.co.jp/,尾関茂雄 ( 創業者 ),10億5973万円,1999年 10月8日 （株式会社アクシブドットコム）,
株式会社ホットランド,小売業,単体383名（2015年12月）,https://www.hotland.co.jp/,,"16億7,099万4,900円",1991年 6月10日 （ 1989年 創業）,
ホッカンホールディングス株式会社,金属製品,"連結：1,950名 [1]",http://www.hokkanholdings.co.jp/,,"110億8,600万円 [1]",1950年 2月1日,
北海道瓦斯株式会社　　,電気・ガス業,"連結1,017人、単独665人 （2012年3月現在）",https://www.hokkaido-gas.co.jp/,,50億3933万円 （2013年3月31日現在）,1911年 7月12日,
株式会社北國銀行,銀行業,"単体：1,787人 連結：1,835人 （2017年3月31日時点） [1]",https://www.hokkokubank.co.jp/,,266億73百万円 （2017年3月31日時点） [1],1943年 12月18日,日本 〒 920-8670 石川県 金沢市 広岡2丁目12番6号
保土谷化学工業株式会社,化学,連結760名、単独377名 （2013年3月）,https://www.hodogaya.co.jp/,,"111億9,655万円",1916年 12月11日,
ホソカワミクロン株式会社,機械,"単体355名、連結1,465名 （2012年9月）",https://www.hosokawamicron.co.jp/jp/global.html,細川永一 ・ 細川益男,"144億9,600万円",1949年 8月13日,
株式会社ポプラ,小売業,350人,https://www.poplar-cvs.co.jp/,目黒俊治（創業者）,"29億0,886万7,725円",1976年 （ 昭和 51年） 4月20日 [1],
北海道電力株式会社,電気・ガス業,"連結：10,962人 単独：5,284人 （2018年3月31日現在） [1]",https://www.hepco.co.jp/,中野友雄 （元社長） 戸田一夫 （元社長） 泉誠二 （元社長） 南山英雄 （元社長） 近藤龍夫 （元社長） 佐藤佳孝 （元社長） 大内全 （元副社長）,"1,142億9,100万円 （2018年3月期） [1]",1951年 5月1日,日本 〒 060-8677 北海道 札幌市 中央区 大通東 1丁目2番地
ホシデン株式会社,電気機器,"連結 10,077人",https://www.hosiden.co.jp/,古橋了,"136億6,027万円",1950年 9月14日,
ホシザキ株式会社,機械,"連結：12,982名 単体：1,160名 （2018年12月31日現在）",https://www.hoshizaki.co.jp/,歴代社長,80億8百万円 （2018年12月31日現在）,1947年 （ 昭和 22年） 2月5日 （星崎電機株式会社）,
株式会社ホクリヨウ,水産・農林業,543人 （2019年3月31日現在）,http://www.hokuryo.co.jp/,,"10億5,500万円",1949年 （ 昭和 24年） 5月17日,
北陸電気工事株式会社,建設業,連結986人　単体976人 （2014年3月）,https://www.rikudenko.co.jp/,,33億2869万9880円,1944年 10月1日,
北陸電気工業株式会社,電気機器,"単体565人、連結2,787人 （2015年3月期）",https://www.hdk.co.jp/,,52億円,1943年 4月4日,
北陸電力 株式会社,電気・ガス業,連結 8433人 単体 5229人 （2018年3月31日時点） [1],http://www.rikuden.co.jp/,新木富士雄,1176億4100万円 （2018年3月31日時点） [1],1951年 5月1日,日本 〒 930-8686 富山県 富山市 牛島町15番1号 北緯36度42分9.8秒 東経137度12分54.6秒 ﻿ / ﻿ 北緯36.702722度 東経137.215167度 ﻿ / 36.702722; 137.215167
北興化学工業株式会社,化学,"連結：751人,単体：637人 (2018年11月末日現在)",https://www.hokkochem.co.jp/,,32億1395万円 （2015年11月）,1950年 （ 昭和 25年） 2月27日,
株式会社ほくほくフィナンシャルグループ,銀行業,"連結：5,349人 単独：13人 （2016年3月31日現在）",https://www.hokuhoku-fg.co.jp/,,708億95百万円 （2017年3月末現在）,2003年 （ 平成 15年） 9月26日 （株式会社ほくぎんフィナンシャルグループ）,
株式会社北洋銀行,銀行業,2869名 （2019年7月1日現在）,https://www.hokuyobank.co.jp/,石井純二,"1,211億1百万円 （2015年3月31日現在）",1917年 （大正6年） 8月20日 （北海道無尽）,
北越コーポレーション株式会社,パルプ・紙,"連結 4,779名、単独 1,581名 （2018年3月31日現在）",http://www.hokuetsucorp.com/,三輪正明 （前社長）,420億2094万円,1907年 （ 明治 40年） 5月9日,〒 940-0027 新潟県 長岡市 西蔵王3-5-1
文化シヤッター株式会社,金属製品,"3,805人（連結　2016年3月現在）",https://www.bunka-s.co.jp/,,"150億5,100万円（2015年3月31日現在）",1955年 4月18日,
株式会社ブロンコビリー,小売業,407名（2016年12月31日現在） [1],https://www.bronco.co.jp/,竹市靖公（代表取締役会長、創業者）,21億99百万円 [1],1983年 （ 昭和 58年） 12月26日,
プロパティエージェント株式会社,不動産業,82人（2016年3月）,http://www.propertyagent.co.jp/,,3億5170万円,2004年 （ 平成 16年） 2月6日,
株式会社プロネクサス,その他製品,"連結：1,047名　単体：699名 （201７年9月30日現在）",https://www.pronexus.co.jp/,,"30億5,865万500円 （2017年3月31日現在）",1947年 （昭和22年） 5月1日,
株式会社プロシップ,情報,182人,https://www.proship.co.jp/,,4.5億円,1969年 4月,
株式会社ブロードリーフ,情報・通信業,,https://www.broadleaf.co.jp/,,56億1567万5000円,2009年 9月16日 （実質 2005年 12月16日 ）,
株式会社プレステージ・インターナショナル,サービス業,"連結：3,380人 （2019年3月現在）",http://www.prestigein.com/,,"14億8,666万円",1986年10月,
株式会社プレナス,小売業,"単体1,429人（2015年2月末現在）",https://www.plenus.co.jp/,,34億61百万円 （2015年2月末現在）,1976年 11月10日 （創業1960年3月）,
プレス工業株式会社,輸送用機器,"連結:5,033名 単独:2,104名 （2009年3月31日現在）",http://www.presskogyo.co.jp/,,80億7千万円,1925年 2月16日,
株式会社プレサンスコーポレーション,不動産業,271人(単独) 524人(連結),https://www.pressance.co.jp/,,"1,973,996,000円",1997年 （ 平成 11年） 10月1日,
古野電気株式会社,電気機器,"連結:2,905人 （2015年2月末時点）",https://www.furuno.com/jp/,,"7,534百万円 （2015年2月末時点）",1951年 （ 昭和 26年） 5月23日,
フルテック株式会社,機械,単体569名（2017年3月現在）,https://www.fulltech1963.com/,,3億29百万円,1963年 （昭和38年） 11月2日 （北海道寺岡オートドア株式会社）,北海道札幌市中央区 大通東 三丁目4番地の3
フルサト工業株式会社,卸売業,連結：945人 単独：466人 （2017年3月31日現在）,http://www.furusato.co.jp/,,"52億3,241万円",1959年（昭和34年）5月,
株式会社フルキャストホールディングス,サービス業,連結:645名 （2017年9月末現在）,https://www.fullcastholdings.co.jp/,佐藤修 （ マスターピース・グループ 会長兼社長）,27億80百万円 （2016年12月末現在）,1990年 9月14日,
プリマハム株式会社,食料品,"連結 3,164名（2018年3月時点） [1] 単体 993名（2018年3月時点） [1]",https://www.primaham.co.jp/,竹岸政則（創業者）,79億800万円,1948年 7月9日 （創業： 1931年 ）,〒 140-0011 東京都品川区 東大井 3丁目17番4号
フリービット株式会社,情報・通信業,連結：989人 単独：242人 （2018年4月30日現在）,https://freebit.com/,出井伸之 （社外取締役）,45億1400万円（2018年4月）,2000年 5月1日,
古河電池株式会社,電気機器,"連結：2,372人 単独：935人",https://www.furukawadenchi.co.jp/,,"16億4,000万円",1950年 9月1日 （古河電気工業より独立）,
古河電気工業株式会社,非鉄金属,"連結:5万1,925人 単体:3,704人 （2018年3月末） [1]",https://www.furukawa.co.jp/,古河虎之助 （創業者）,"693億9,500万円 （2018年3月末） [1]",1896年 （ 明治 29年） 6月25日 [1],
株式会社プロトコーポレーション,情報・通信業,"連結1,583名　単体633名 （2017年3月31日現在）",https://www.proto-g.co.jp/,,18億2462万円,1979年 （ 昭和 54年） 6月1日 （株式会社プロジェクトエイト）,
株式会社ブリヂストン,ゴム製品,"連結:142,669名 （2017年12月31日現在）",https://www.bridgestone.co.jp/,石橋正二郎 （創業者） 荒川詔四 （元CEO）,1263億54百万円 （2017年12月31日時点）,1931年 （ 昭和 6年） 3月1日,
フリュー株式会社,その他製品,連結: 421人 単体: 410名 [1],https://www.furyu.jp,,"16億3,921万6千円 [1]",2007年 （ 平成 19年） 4月1日,
古河機械金属株式会社,非鉄金属,"連結:2,342人 単独:228人 （2013年3月）",https://www.furukawakk.co.jp/,古河市兵衛 （創業者） 古河虎之助 （第3代・第5代社長） 吉村萬治郎 （第4代社長） 岡田完二郎 （第7代社長、のち 富士通 社長） 名取和作 （古河鉱業を経て、のち 富士電機 初代社長） 菅礼之助 （元理事、のち 東京電力 会長） 井上公二 （元理事、のち 朝日生命保険 社長） 稲垣平太郎 （古河合名を経て、 横浜ゴム 社長・ 日本ゼオン 会長・ 通商産業大臣 ） 岡崎邦輔 （元理事、のち農林大臣） 中島久万吉 （元理事、のち商工大臣） 中江種造 （古河市兵衛の技術顧問） 小谷節夫 （古河鉱業に入社し、のち 衆議院議員 ） 山口青邨 （古河鉱業に入社し、のち 東京大学 教授） 福地信世 （元社員、 福地桜痴 の子） 原敬 （元副社長、のち 首相 ） 陸奥宗光 （第2代社長・古河潤吉の実父、元 外相 ） 田中正造,"282億818万2,500円",1918年 （大正7年） 創業は 1875年 （明治8年）,
株式会社PLANT,小売業,"3,323人（パート、アルバイト含む）",https://www.plant-co.jp/,,"13億5,800万円",1982年 1月21日,
フランスベッドホールディングス株式会社,その他製品,"(単体)17人,(連結)1523人 (2017年3月31日現在)",,,30億円,2004年 3月30日,
ブラザー工業株式会社,電気機器,"連結 34,988名 単独 3,946名 （2015年3月31日現在） [1]",https://www.brother.co.jp/,安井正義 （創業者） 安井義博 （元会長、現相談役） 平田誠一 （元代表取締役社長） 石黒不二代 （ ネットイヤーグループ 代表取締役社長兼 CEO 、元社員。）,192億09百万円 [1],1934年 （ 昭和 9年） 1月15日 （日本ミシン製造株式会社）,
フューチャー株式会社,情報・通信業,"連結：1,623名 （2015年12月31日現在）","https://www.future.co.jp/,https://future-architect.github.io/",,3億円,2016年 （平成28年） 4月1日,
芙蓉総合リース株式会社,その他金融業,"連結：1,703人 単独：689人 （2017年3月31日現在）",https://www.fgl.co.jp/index.html,,105億32百万円 （2017年3月31日現在）,1969年 （ 昭和 44年） 5月1日,
船井電機株式会社,電気機器,"連結：2,383名 （2019年3月末現在）",https://www2.funai.co.jp/,,"31,307百万円 （2018年3月末現在）",1951年 1月9日 （※）,
わらべや日洋ホールディングス株式会社,食料品,"連結2,014名 （2016年2月末日現在）",http://www.warabeya.co.jp/,,80億49百万円 （2016年2月末日現在）,1964年 3月18日,
株式会社ワッツ,小売業,連結299人（2013年8月現在）,https://www.watts-jp.com/,,4億4029万円（2013年8月現在）,1995年 2月22日,
株式会社ブラス,サービス業,299名（2016年7月） [2],https://brass.ne.jp/,,4億7174万円（2016年7月） [2],1998年 4月3日 [1],
ワタベウェディング株式会社,サービス業,"連結2,104名（2017年3月）",https://www.watabe-wedding.co.jp/,渡部秀敏,41億7637万2000円（2017年3月）,1971年 4月12日,
株式会社早稲田アカデミー,サービス業,,https://www.waseda-ac.co.jp/,須野田誠 （創業者）,9億68百万円,1974年 11月,
綿半ホールディングス株式会社,建設業,177名,http://www.watahan-intec.co.jp/,中谷勘兵衛（創業者）,2億円,1967年 （ 昭和 42年） 10月23日,〒 395-0193 長野県 飯田市 北方1023-1
株式会社ワコム,電気機器,単体 433名、連結 930名 （2013年3月31日現在）,https://www.wacom.com/ja-jp,村上東 （創業者）,42億346万9千円 （2013年3月31日現在）,1983年 （ 昭和 58年） 7月12日,
ワタミ株式会社,小売業,"連結：3,518人 平均臨時雇用者数：9,107人 単体：1,778人 平均臨時雇用者数：7,853人 （2016年3月31日現在）",https://www.watami.co.jp/,渡邉美樹 （創業者）,44億10百万円 （2016年3月31日現在）,1986年 5月1日,
株式会社ワコールホールディングス,繊維製品,"単独：4,861人",https://www.wacoal.jp/,塚本幸一（創業者）,50億円 （2019年3月期） [1],2005年 10月1日,
株式会社 ワキタ,卸売業,連結457名（2017年2月末現在）,http://www.wakita.co.jp/,,138億2187万4820円,1949年 5月4日,
若築建設株式会社,建設業,単独：607名 連結：674名 （2011年3月31日現在）,https://www.wakachiku.co.jp/,,"113億7,400万円 （2012年3月31日現在）",1890年 （ 明治 23年） 5月23日 （築営若松築港会社）,〒 808-0024 福岡県 北九州市 若松区 浜町1-4-7
わかもと製薬株式会社,医薬品,368人（2017年3月末）,https://www.wakamoto-pharm.co.jp/,,33億95百万円,1933年 （ 昭和 8年） 1月15日 （株式会社栄養と育児の会）,
株式会社WOWOW,情報・通信業,連結377名 単独278名 （2012年3月31日現在）,https://corporate.wowow.co.jp/,佐久間曻二 （元社長） 廣瀬敏雄 （元社長） 和崎信哉 （元社長）,50億円（2012年3月31日現在）,1984年 （ 昭和 59年） 12月25日 （日本衛星放送株式会社）,
株式会社ワイヤレスゲート　,情報・通信業,連結18人（2016年12月31日現在）,http://www.wirelessgate.co.jp/,,8億8414万6700円 （2017年12月31日現在）,2004年1月26日,
株式会社ワールドインテック,サービス業,"連結15,559名 （2016年12月末時点）",https://www.world-hd.co.jp/,,7億1百万円,1993年 2月12日,〒 803-0814 福岡県 北九州市 小倉北区 大手町11番2号
株式会社ユー・エス・エス,サービス業,"連結 1,047名 単独 540名 （2016年3月31日現在） [1]",https://www.ussnet.co.jp/,,188億81百万円（ 2014年 3月） [1],1969年 （昭和44年） 11月13日 合併による株式額面変更のため実質的には 1980年 (昭和55年) 10月29日,
株式会社ロック・フィールド,食料品,"単体1,497人（2012年4月）",http://www.rockfield.co.jp/,,55億44百万円,1972年 （ 昭和 47年） 6月8日 [1],
六甲バター株式会社,食料品,405名（2018年12月）,http://www.qbb.co.jp/,,28億4320万円,1948年12月13日,
株式会社 ワールド,繊維製品,単独：200名 （2015年9月末現在）,http://corp.world.co.jp/,畑崎廣敏 木口衛,60億 （2015年3月末現在）,1959年 1月13日,
ローランド ディー. ジー.株式会社,電気機器,単体641名（2014年3月31日現在）,https://www.rolanddg.co.jp/,,36億6870万円 （2015年3月31日現在）,1981年 5月1日,
ローム株式会社,電気機器,連結 21308名 単体 3135名(2017年3月期),https://www.rohm.co.jp/,,869億69百万円,1958年 9月17日,
株式会社ローソン,小売業,"連結 10,395人（2019年2月末現在）",https://www.lawson.co.jp/,中内功 新浪剛史,585億600万円 （2019年2月末現在）,1975年 （ 昭和 50年） 4月15日 （ダイエーローソン株式会社）,
株式会社ワコールホールディングス,繊維製品,"単独：4,861人",https://www.wacoal.jp/,塚本幸一（創業者）,50億円 （2019年3月期） [1],2005年 10月1日,
ローツェ株式会社,機械,"連結1,489名（2018年2月期）",https://www.rorze.com/,,9億8277万円,1985年 3月30日,
レンゴー株式会社,パルプ・紙,"連結：16532人、単体：3,730人 （2018年3月31日時点）",https://www.rengo.co.jp/,,"310億6,600万円（2018年3月31日時点）",1920年 （ 大正 9年） 5月2日 （聯合紙器株式会社）,
ロイヤルホールディングス株式会社,小売業,(単体)124人 (連結)2617人 （2016年12月期）,https://www.royal-holdings.co.jp/,江頭匡一 （創業者）,136億7600万円,1950年 4月4日 （キルロイ特殊貿易株式会社）※特記事項を参照,〒 812-0893 福岡県 福岡市 博多区 那珂三丁目28番5号
株式会社レナウン,繊維製品,"連結 1,080名 （2017年2月期）",https://www.renown.com/,佐々木八十八（創業者） 尾上清 （戦後創業者） 今井和也 （元広告宣伝プロデューサー）,184億71百万円,1947年 （ 昭和 22年） 9月25日 [1] （旧法人） ↓ 2004年 （ 平成 16年） 3月1日 （現法人）,
株式会社レノバ,電気・ガス業,連結：128人 単体：101人 （2018年5月31日現在）,https://www.renovainc.com/,水島正 （ 取締役 ） 村山利栄 （取締役） 南川 秀樹 （取締役） 蟹江憲史 （取締役） 竹内行夫 （取締役） 芳川恒志 （取締役）,19億86百万円,2000年 5月30日 （株式会社リサイクルワン）,
ロート製薬株式会社,医薬品,"連結：6,642名 単独：1,524名 （2016年3月31日現在）",https://www.rohto.co.jp/,山田安民 （創業者） 山田輝郎 （元会長、安民の長男） 山田安邦 （元会長、輝郎の長男）,64億11百万円 （ 2016年 （平成28年）3月31日現在）,1949年 （ 昭和 24年） 9月15日,
レック株式会社,化学,単体444名（2016年3月）,https://www.lecinc.co.jp/,,54億91百万円,1983年 （ 昭和 58年） 3月17日,
レシップホールディングス株式会社,輸送用機器,294名（2018年3月31日現在）,http://www.lecip.co.jp/,,9800万円,2010年 （平成22年） 10月1日,
株式会社レオパレス21,不動産業,"連結：7,608名 単体：6,313名 （2019年6月末現在）",https://www.leopalace21.co.jp/index.html,,"752億8,236万円 （2017年12月26日現在） [1]",1973年 8月17日,
レオン自動機株式会社,機械,,https://www.rheon.com/jp/index.php,,73億5175万円,1963年 3月15日,
株式会社ルネサンス,サービス業,629名（2012年3月31日現在）,https://www.s-re.jp/,,"22億1,038万円",1982年 （ 昭和 57年） 8月13日 （株式会社ディッククリエーション）,
レイズネクスト株式会社,建設業,"単体1,041人（2016年3月31日現在）",https://www.raiznext.co.jp/,,27億54百万円,1938年 7月20日 （株式会社法専組鉄工所）,
株式会社レスターホールディングス,卸売業,"連結 1,264名（ 2015年 3月31日現在） [1]",https://www.restargp.com/,,43億83百万円 [1],2009年10月1日,
ルネサス エレクトロニクス,電気機器,"連結19,546名（2018年12月末）",https://www.renesas.com/ja-jp.html,,100億円（2016年12月末）,2002年11月1日,
株式会社リンクアンドモチベーション,サービス業,"連結1,397名（2017年12月）",https://www.lmi.ne.jp/,,"13億8,061万円 (2016年12月31日現在)",2000年 3月27日,
リンテック株式会社,その他製品,"連結：4,794人 単体：2,558人 (2018年3月31日現在)",http://www.lintec.co.jp/,,232億1百万円 (2018年3月31日現在),1934年 （昭和9年） 10月15日 （不二紙工株式会社）,
株式会社リンガーハット,小売業,単体124人、連結495人 （2015年2月現在）,https://www.ringerhut.co.jp/,八木康行 （元社長）,50億6612万円,1970年 6月13日 （浜勝商事株式会社） (創業 1962年 ),〒 850-0831 長崎県 長崎市 鍛冶屋町6-50
株式会社リログループ,不動産業,"連結:1,502人 単独:80人 （2016年3月）",https://www.relo.jp/,,26億67百万円,1967年 （ 昭和 42年） 3月15日,
りらいあコミュニケーションズ株式会社,サービス業,連結：979人　単独：645人 （2015年3月31日現在）,https://www.relia-group.com/,,"9億9,825万6千円",1987年 （昭和62年） 6月23日,〒 151-0053 東京都渋谷区代々木二丁目6番5号 テレコミュニケーションビル
リックス株式会社,卸売業,連結：632名 単体：393名,https://www.rix.co.jp/,,"8億2,790万円",1964年 5月1日,
株式会社琉球銀行,銀行業,1285人 （2017年）,https://www.ryugin.co.jp/,,541億27百万円 （2015年3月31日現在）,1948年 （昭和23年） 5月1日,
株式会社リブセンス,,正社員308名、臨時従業員 132名 （2017年6月30日現在、リブセンス単体）,https://www.livesense.co.jp/,,"234,000,000円（2017年6月30日現在）",2006年 2月8日,
株式会社良品計画,小売業,"連結：4,795人 平均臨時雇用者：7,242人 単独：1,540人 平均臨時雇用者：4,499人 （2015年2月末日時点）",https://ryohin-keikaku.jp/,堤清二 （元セゾングループ代表） 沖正一郎 （元会長） 木内政雄 （元社長） 松井忠三 （元社長）,67億66百万円 （2015年2月末日時点）,1979年 （ 昭和 54年） 5月18日 （株式会社魚力）（注1）,
株式会社LITALICO,サービス業,"1,925名（2018年3月現在）",http://litalico.co.jp/,佐藤崇弘 （創業者） 長谷川敦弥 （代表取締役社長）,3億29百万円,2005年 12月26日,
リョービ株式会社,非鉄金属,"1,724人（2015年3月）",https://www.ryobi-group.co.jp/,浦上豊 （創業者）,184億72百万円,1943年 12月16日 （株式会社菱備製作所）,
リソルホールディングス株式会社,サービス業,連結405名、単体34名 （2016年3月現在）,https://www.resol.jp/,,"39億4,808万8千円",1931年 2月27日,
リンナイ株式会社,金属製品,"連結：10,613［3,360］人 単独：3,702［378］人 （2019年3月31日現在） [2]",https://www.rinnai.co.jp/index.html,林兼吉 （創業者） 内藤秀次郎 （創業者） 内藤明人 （元会長）,"64億5,974万円 [1]",1950年 9月2日 （創業： 1920年 9月1日 ）,
リゾートトラスト株式会社,サービス業,"5,931名（2016年3月連結）",https://www.resorttrust.co.jp/,,"195億8,808万円（2016年3月末)",1973年 （ 昭和 48年） 4月2日 （宝塚エンタープライズ株式会社） [1],
株式会社りそなホールディングス,銀行業,"単体：1,134人 連結：16,785人 （2018年3月31日現在）",https://www.resona-gr.co.jp/,,504億72百万円 （2018年3月31日現在）,2001年 （ 平成 13年） 12月12日 （株式会社 大和銀ホールディングス ）,
リズム時計工業株式会社,精密機器,"単体 318人、連結 3,292人 （2015年3月31日現在）",https://www.rhythm.co.jp/,,123億7284万円 （2015年3月31日現在）,1950年 （昭和25年） 11月7日,
理研ビタミン株式会社,食料品,"連結：2,357人 単体：912人 （2016年3月31日現在）",https://www.rikenvitamin.jp/,,25億37百万円,1949年 8月27日,
理想科学工業株式会社,機械,"連結：3,626人 単独：1,757人 （2019年3月31日現在）",https://www.riso.co.jp/,,"141億1,498万5,384円 （2019年3月31日現在）",1955年 （ 昭和 30年） 1月25日 （株式会社理想科学研究所）,
リケンテクノス株式会社,化学,単独:658人 （2015年3月現在）,https://www.rikentechnos.co.jp/,,85億14百万円,1951年 （昭和26年） 3月30日 （理研ビニル工業株式会社）,
理研計器株式会社,精密機器,単独465名 連結806名,http://www.rikenkeiki.co.jp/,,25億6550万円,1934年 7月30日,
リコーリース株式会社,その他金融業,連結：917人 単体：762人 （2015年3月期）,https://www.r-lease.co.jp/,,"78億9,686万円",1976年 12月21日,
株式会社リケン,機械,"連結：3,970人　単独：1,519人 （2015年3月31日現在）",http://www.riken.co.jp/,,85億73百万円,1949年 （昭和24年） 12月1日 （理研柏崎ピストンリング工業株式会社）,
株式会社リクルートホールディングス,サービス業,"連結：40,152名",https://recruit-holdings.co.jp/,江副浩正 （創業者・元社長）,100億円,1963年 8月26日,〒 104-0061 東京都 中央区 銀座 八丁目4番17号 ‎ リクルート銀座8丁目ビル
株式会社リコー,電気機器,連結:9万7878人 （2018年3月末時点） [1],https://www.ricoh.co.jp/,市村清 浜田広 桜井正光 （元社長） 近藤史朗 （元社長） 三浦善司 （元社長）,1353億6400万円 （2016年3月31日時点） [1],1936年 （昭和11年） 2月6日 （理研感光紙株式会社）,
株式会社LIXILグループ,金属製品,"連結：61,140名 単独：50名 （2018年3月31日現在）",https://www.lixil.com/jp/,伊奈長三郎 （INAX創業者） 伊奈輝三 （元INAX社長） 水谷千加古 （元社長） 杉野正博 （元社長） 松崎正年 （取締役会議長）,681億21百万円,1949年 （ 昭和 24年） 9月19日 （日本建具工業株式会社）,〒 136-8535 東京都 江東区 大島 二丁目1番1号
株式会社ランド,不動産業,単体7人、連結7人 （2018年2月）,http://www.land.jp/,,86億16百万円 （2018年8月31日現在）,1996年 12月12日,
株式会社LIXILビバ,サービス業,"連結1,371名（2017年3月31日現在）",https://www.vivahome.co.jp/,,200億円,1993年 6月 （ 1977年 4月1日 創業）,
リオン株式会社,電気機器,831人 （2017年3月31日現在/連結）,https://www.rion.co.jp/,,"20億1,461万円 （2018年3月31日現在）",1944年 6月21日,
株式会社リソー教育,サービス業,263名 （2018年2月28日現在）,https://www.riso-kyoikugroup.com/,,28億9041万円 （2016年5月25日現在）,1985年 （ 昭和 60年） 7月6日 （株式会社日本教育公社）,
ラサ商事株式会社,卸売業,連結：245人、単独：184人 （2016年3月31日）,https://www.rasaco.co.jp/,,18億54百万円,1939年 （昭和14年） 1月10日,
ラサ工業株式会社,化学,"連結：557人,>単体：410人 (2018年3月末日現在)",http://www.rasa.co.jp/,恒藤規隆 （創業者）,84億4300万円,1918年 6月26日 1913年5月1日創業,
株式会社ラクーンホールディングス,卸売業,連結117人（2013年4月30日現在）,https://www.raccoon.ne.jp/,,"8億3,771万円（2018年10月31日現在）",1995年 （ 平成 7年） 9月20日,
ラクスル株式会社,情報・通信,277人（2019年7月末時点）,https://corp.raksul.com/,,19億4577万1350円（2018年12月31日時点）,2009年 9月1日,
株式会社LIFULL,サービス業,連結:793人（2016年3月31日現在）,https://lifull.com/,松嶋英機 （ 監査役 ）,39億99百万円,1997年 3月12日,
株式会社ライフコーポレーション,小売業,"単体:6,030[18,283]人※1",http://www.lifecorp.jp/,,"10,004百万円",1941年 （昭和16年）2月22日 (大興セルロイド株式会社),〒 103-0023 東京都 中央区 日本橋本町 3-6-2
株式会社ラウンドワン,サービス業,"連結:1,493人 単独:1,225人 （2015年3月31日現在、正社員） [2]",https://www.round1.co.jp/,,250億2100万円 （2018年3月31日現在） [1],1980年 （ 昭和 55年） 12月25日 （杉野興産株式会社）,
ライト工業株式会社,建設業,"連結：1,067人　単独：879人 （2018年3月31日現在）",https://www.raito.co.jp/,,"61億1,947万5,000円",1948年 （ 昭和 23年） 9月28日 （株式会社ライト防水工業所）,
株式会社ライドオンエクスプレスホールディングス,サービス業,単体340名（2017年3月31日現在）,https://www.rideonexpresshd.co.jp/,,9億6446万円 （2017年3月31日現在）,2001年 （ 平成 13年） 7月,
楽天株式会社,サービス業,"連結：1万7,214名 単体：6,528名 （2018年12月31日現在）",https://corp.rakuten.co.jp/,,"2,059億24百万円 （2018年12月31日現在）",1997年 （ 平成 9年） 2月7日 （株式会社エム・ディー・エム） [2],
